timestamp,while_listening,genres, languages,feelings,hours_per_day, platform,productivity_time,social_circle,sleep,life_satisfaction
2025/09/29 6:27:33 pm GMT+5:30,Studying;Traveling;Sleeping/ Relaxing,New Bollywood songs;Love / Romantic;Rock / Phonk /Hip-hop;Pop,Hindi/Punjabi;English songs,More energetic;Relaxed and calm;Focused,1-3 hours,YouTube Music,It varies / Iam not sure,More than 3,5- 6 hours,8
2025/09/29 6:28:13 pm GMT+5:30,Studying;Eating;Working out;Traveling;Bathing;Sleeping/ Relaxing;Doing chores(Daily tasks),Indie;Instrumental;Love / Romantic;Rock / Phonk /Hip-hop;Pop,Hindi/Punjabi;Japanese/Korean Song;English songs,Relaxed and calm,1-3 hours,Spotify,Late night (Night owl),More than 3,5- 6 hours,8
2025/09/29 6:29:23 pm GMT+5:30,Traveling,New Bollywood songs;Indie;Gazal/sufi;Love / Romantic;Pop;Sad / Emotional,Hindi/Punjabi;Arabic/urdu songs;English songs,More energetic;Relaxed and calm;Focused,less than 1,Spotify,It varies / Iam not sure,Just Me(Lonewolf),7-8 hours ,3
2025/09/29 6:31:17 pm GMT+5:30,Eating;Working out;Traveling;Bathing;Sleeping/ Relaxing;Doing chores(Daily tasks),Old Bollywood;New Bollywood songs;Instrumental;Devotional / Spiritual,Hindi/Punjabi;English songs;French ,Relaxed and calm;No specific change,1-3 hours,Spotify,It varies / Iam not sure,2-3 close friends,5- 6 hours,5
2025/09/29 6:34:23 pm GMT+5:30,Working out;Traveling;Bathing;Doing chores(Daily tasks),Rock / Phonk /Hip-hop,Hindi/Punjabi;English songs,More energetic;Relaxed and calm;Focused,1-3 hours,Spotify,Late night (Night owl),Just Me(Lonewolf),5- 6 hours,7
2025/09/29 6:39:01 pm GMT+5:30,Doing chores(Daily tasks),Sad / Emotional,Hindi/Punjabi,Relaxed and calm,less than 1,YouTube Music,Late night (Night owl),Just Me(Lonewolf),7-8 hours ,8
2025/09/29 7:04:22 pm GMT+5:30,Studying;Eating;Working out;Traveling;Bathing;Doing chores(Daily tasks),Old Bollywood;New Bollywood songs;Indie;Instrumental;Love / Romantic;Rock / Phonk /Hip-hop;Pop;Sad / Emotional;Devotional / Spiritual,Hindi/Punjabi;English songs,More energetic;More emotional;Relaxed and calm,1-3 hours,Spotify,Evening,2-3 close friends,5- 6 hours,7
2025/09/29 7:38:38 pm GMT+5:30,Studying;Eating;Working out;Traveling;Sleeping/ Relaxing;Doing chores(Daily tasks),New Bollywood songs;Indie;Love / Romantic;Pop,Hindi/Punjabi;English songs,Relaxed and calm,1-3 hours,YouTube Music,Late night (Night owl),More than 3,7-8 hours ,5
2025/09/29 7:47:03 pm GMT+5:30,Studying;Eating;Traveling;Bathing;Doing chores(Daily tasks),Gazal/sufi;Love / Romantic;Pop;Sad / Emotional,Hindi/Punjabi,More energetic;Relaxed and calm;No specific change,1-3 hours,Spotify,Evening,2-3 close friends,7-8 hours ,9
2025/09/29 9:03:41 pm GMT+5:30,Working out,Old Bollywood;New Bollywood songs;Gazal/sufi;Devotional / Spiritual,Hindi/Punjabi;English songs,More energetic;More emotional;Relaxed and calm,less than 1,My own collection (downloaded songs),It varies / Iam not sure,2-3 close friends,5- 6 hours,7
2025/09/29 9:56:22 pm GMT+5:30,Eating;Traveling;Sleeping/ Relaxing;Doing chores(Daily tasks),Instrumental;Rock / Phonk /Hip-hop;Pop,English songs,More energetic;Relaxed and calm,more than 5,YouTube Music,It varies / Iam not sure,More than 3,5- 6 hours,8
2025/09/29 10:29:03 pm GMT+5:30,Studying;Eating;Working out;Traveling;Bathing;Doing chores(Daily tasks),New Bollywood songs;Love / Romantic;Rock / Phonk /Hip-hop;Pop;Sad / Emotional;Devotional / Spiritual,Hindi/Punjabi,More energetic;More emotional;Relaxed and calm,1-3 hours,Spotify,Morning,Just Me(Lonewolf),5- 6 hours,8
2025/09/29 10:37:36 pm GMT+5:30,Studying;Working out;Sleeping/ Relaxing;Doing chores(Daily tasks),Old Bollywood;Rock / Phonk /Hip-hop,Hindi/Punjabi;English songs,No specific change,more than 5,Spotify,Late night (Night owl),1 close friends,5- 6 hours,6
2025/09/29 11:23:12 pm GMT+5:30,Studying;Traveling;Bathing;Sleeping/ Relaxing;Doing chores(Daily tasks),Old Bollywood;New Bollywood songs;Indie;Gazal/sufi;Love / Romantic;Devotional / Spiritual,Hindi/Punjabi;English songs,More energetic;Relaxed and calm;Focused,3-5 hours,Spotify,Morning,Just Me(Lonewolf),7-8 hours ,7
2025/09/29 11:26:53 pm GMT+5:30,Working out;Traveling;Sleeping/ Relaxing;Doing chores(Daily tasks),Indie,Hindi/Punjabi,More energetic;Relaxed and calm;Focused,1-3 hours,Spotify,Evening,Just Me(Lonewolf),5- 6 hours,3
2025/09/30 2:28:30 am GMT+5:30,Traveling;Sleeping/ Relaxing;Doing chores(Daily tasks),Old Bollywood;New Bollywood songs;Gazal/sufi;Love / Romantic;Sad / Emotional,Hindi/Punjabi;Bhojpuri,More emotional;Relaxed and calm;Focused,1-3 hours,Spotify,Late night (Night owl),More than 3,less than 4 hours,4
2025/09/30 8:10:42 am GMT+5:30,Working out;Traveling,Rock / Phonk /Hip-hop;Pop;Sad / Emotional,Hindi/Punjabi;Japanese/Korean Song;English songs,Relaxed and calm,less than 1,Spotify,Morning,2-3 close friends,8+  hours,1
2025/09/30 10:18:24 am GMT+5:30,Studying;Eating;Working out;Traveling;Bathing;Sleeping/ Relaxing;Doing chores(Daily tasks),Old Bollywood;New Bollywood songs;Indie;Gazal/sufi;Love / Romantic;Rock / Phonk /Hip-hop;Pop ;Sad / Emotional;Devotional / Spiritual,Hindi/Punjabi;Arabic/urdu songs;Japanese/Korean Song;English songs,More energetic;More emotional;Relaxed and calm;Focused,more than 5,YouTube Music,It varies / Iam not sure,Just Me(Lonewolf),7-8 hours ,10
2025/09/30 3:09:30 pm GMT+5:30,Studying;Eating;Sleeping/ Relaxing,Old Bollywood;Gazal/sufi;Devotional / Spiritual,Hindi/Punjabi;Japanese/Korean Song;English songs,More energetic;More emotional;Relaxed and calm;Focused;No specific change,3-5 hours,YouTube Music,It varies / Iam not sure,2-3 close friends,8+  hours,1
2025/10/03 12:09:42 pm GMT+5:30,Sleeping/ Relaxing,Old Bollywood;New Bollywood songs;Gazal/sufi;Devotional / Spiritual,Hindi/Punjabi;Bhojpuri ,More energetic;More emotional;Relaxed and calm,less than 1,YouTube Music,Morning,2-3 close friends,7-8 hours ,7
2025/10/07 1:20:46 pm GMT+5:30,Studying,Old Bollywood,English songs,Focused,less than 1,Apple Music,Late night (Night owl),1 close friends,7-8 hours ,5
2025/10/07 1:25:20 pm GMT+5:30,Studying;Traveling;Bathing;Sleeping/ Relaxing,Love / Romantic;Rock / Phonk /Hip-hop;Pop;Sad / Emotional,Hindi/Punjabi;English songs,More energetic;Relaxed and calm;Focused,3-5 hours,Spotify,Morning,More than 3,5- 6 hours,6
2025/10/07 1:26:57 pm GMT+5:30,Working out;Traveling;Sleeping/ Relaxing;Doing chores(Daily tasks),Old Bollywood;New Bollywood songs,Hindi/Punjabi,More energetic;More emotional,less than 1,Spotify,It varies / Iam not sure,2-3 close friends,7-8 hours ,5
2025/10/07 2:43:50 pm GMT+5:30,Studying;Eating;Working out;Traveling;Bathing;Sleeping/ Relaxing;Doing chores(Daily tasks),Old Bollywood;New Bollywood songs;Indie;Gazal/sufi;Instrumental;Love / Romantic;Rock / Phonk /Hip-hop;Pop;Sad / Emotional;Devotional / Spiritual,Hindi/Punjabi;Arabic/urdu songs;Japanese/Korean Song;English songs;Bhojpuri;malayali,More emotional,more than 5,My own collection (downloaded songs),It varies / Iam not sure,Just Me(Lonewolf),less than 4 hours,1
2025/10/07 2:47:50 pm GMT+5:30,Studying;Working out;Traveling;Bathing,New Bollywood songs;Sad / Emotional,Hindi/Punjabi;English songs,Relaxed and calm,1-3 hours,Spotify,Late night (Night owl),Just Me(Lonewolf),5- 6 hours,4
2025/10/07 2:56:09 pm GMT+5:30,Eating;Working out;Traveling;Bathing;Sleeping/ Relaxing;Doing chores(Daily tasks),Love / Romantic;Rock / Phonk /Hip-hop;Pop;Sad / Emotional;Devotional / Spiritual,English songs;Telugu,More energetic;More emotional,less than 1,My own collection (downloaded songs),It varies / Iam not sure,More than 3,5- 6 hours,5
2025/10/07 7:54:55 pm GMT+5:30,Studying;Working out;Traveling,Old Bollywood;New Bollywood songs;Love / Romantic;Pop,Hindi/Punjabi;English songs,More energetic;Relaxed and calm,less than 1,Spotify,It varies / Iam not sure,2-3 close friends,5- 6 hours,7
2025/10/07 8:00:38 pm GMT+5:30,Bathing;Sleeping/ Relaxing;Doing chores(Daily tasks),Old Bollywood;Indie;Rock / Phonk /Hip-hop;Pop,Hindi/Punjabi;Japanese/Korean Song;English songs,More energetic;More emotional;Relaxed and calm,1-3 hours,My own collection (downloaded songs),Morning,2-3 close friends,7-8 hours ,4
2025/10/08 8:19:45 am GMT+5:30,Working out;Traveling,New Bollywood songs;Love / Romantic;Sad / Emotional,Hindi/Punjabi,More energetic;Relaxed and calm,less than 1,YouTube Music,Late night (Night owl),2-3 close friends,5- 6 hours,7
2025/10/08 1:49:53 pm GMT+5:30,Studying;Bathing;Doing chores(Daily tasks),Old Bollywood;Sad / Emotional,Hindi/Punjabi;English songs,More emotional;Relaxed and calm,more than 5,YouTube Music,It varies / Iam not sure,2-3 close friends,5- 6 hours,7
2025/10/08 1:55:09 pm GMT+5:30,Working out;Traveling,Rock / Phonk /Hip-hop,English songs,More energetic;Relaxed and calm,3-5 hours,Apple Music,Late night (Night owl),More than 3,5- 6 hours,7
2025/10/08 2:13:28 pm GMT+5:30,Studying;Traveling;Doing chores(Daily tasks),Gazal/sufi,Hindi/Punjabi,Relaxed and calm,less than 1,My own collection (downloaded songs),Evening,2-3 close friends,7-8 hours ,7
2025/10/08 2:44:14 pm GMT+5:30,Studying,Instrumental,Hindi/Punjabi,Relaxed and calm,1-3 hours,YouTube Music,Late night (Night owl),More than 3,7-8 hours ,5
2025/10/08 2:49:08 pm GMT+5:30,Studying;Eating;Working out;Traveling;Sleeping/ Relaxing;Doing chores(Daily tasks),Old Bollywood;New Bollywood songs;Indie;Love / Romantic,Hindi/Punjabi;English songs,Relaxed and calm;Focused;No specific change,1-3 hours,YouTube Music,Late night (Night owl),More than 3,7-8 hours ,6
2025/10/08 3:29:30 pm GMT+5:30,Studying;Working out;Traveling;Sleeping/ Relaxing,Old Bollywood;New Bollywood songs;Indie;Instrumental;Love / Romantic;Rock / Phonk /Hip-hop;Pop;Sad / Emotional;Devotional / Spiritual,Hindi/Punjabi;Arabic/urdu songs;Japanese/Korean Song;English songs,More energetic;More emotional;Relaxed and calm;Focused,3-5 hours,Spotify,Late night (Night owl),Just Me(Lonewolf),5- 6 hours,6
2025/10/08 6:32:11 pm GMT+5:30,Studying;Working out,Indie,Hindi/Punjabi;Arabic/urdu songs;Japanese/Korean Song;English songs,More energetic;More emotional;Relaxed and calm;Focused,1-3 hours,YouTube Music,Morning,2-3 close friends,5- 6 hours,6
2025/11/08 12:02:18 am GMT+5:30,Studying;Eating;Working out;Traveling;Bathing,Old Bollywood;Indie,Hindi/Punjabi;English songs,More energetic;Relaxed and calm;Focused,1-3 hours,Spotify,Evening,Just Me(Lonewolf),8+  hours,10
2025/11/08 2:15:10 pm GMT+5:30,Traveling;Sleeping/ Relaxing,Rock / Phonk /Hip-hop;New Bollywood songs,Hindi/Punjabi;English songs,No specific change,less than 1,Apple Music,Late night (Night owl),2-3 close friends,7-8 hours ,3
2025/11/08 3:02:44 pm GMT+5:30,Studying;Working out;Doing chores(Daily tasks),Pop;Indie,Hindi/Punjabi;English songs,No specific change,more than 5,Spotify,It varies / Iam not sure,Just Me(Lonewolf),5- 6 hours,5
2025/11/08 4:19:01 pm GMT+5:30,Studying;Traveling,Rock / Phonk /Hip-hop;Old Bollywood,Hindi/Punjabi;English songs,Relaxed and calm;Focused,3-5 hours,Spotify,Morning,2-3 close friends,5- 6 hours,5
2025/11/08 5:33:17 pm GMT+5:30,Doing chores(Daily tasks),Devotional / Spiritual,Hindi/Punjabi,Relaxed and calm,1-3 hours,My own collection (downloaded songs),Late night (Night owl),Just Me(Lonewolf),7-8 hours ,9
2025/11/08 6:41:22 pm GMT+5:30,Eating;Traveling;Sleeping/ Relaxing,Instrumental;Love / Romantic;Sad / Emotional,Hindi/Punjabi;English songs,More energetic;Relaxed and calm,1-3 hours,Spotify,It varies / Iam not sure,More than 3,5- 6 hours,6
2025/11/08 7:55:09 pm GMT+5:30,Bathing;Sleeping/ Relaxing,Pop;New Bollywood songs,Hindi/Punjabi;English songs,No specific change,1-3 hours,Spotify,Late night (Night owl),2-3 close friends,5- 6 hours,5
2025/11/08 9:02:18 pm GMT+5:30,Studying;Working out,Rock / Phonk /Hip-hop,English songs,More energetic,1-3 hours,My own collection (downloaded songs),Morning,2-3 close friends,8+ hours,8
2025/11/08 10:11:45 pm GMT+5:30,Studying;Traveling,Indie;Love / Romantic;Sad / Emotional,Hindi/Punjabi;English songs,More emotional,less than 1,Spotify,It varies / Iam not sure,2-3 close friends,7-8 hours ,5
2025/11/08 11:25:30 pm GMT+5:30,Studying;Traveling,Instrumental;New Bollywood songs,Hindi/Punjabi;Japanese/Korean Song;English songs,More energetic;Relaxed and calm,1-3 hours,My own collection (downloaded songs),It varies / Iam not sure,Just Me(Lonewolf),8+ hours,8
2025/11/09 12:30:19 am GMT+5:30,Studying;Traveling,Rock / Phonk /Hip-hop;Gazal/sufi,Hindi/Punjabi;English songs,Relaxed and calm;Focused,1-3 hours,Spotify,Late night (Night owl),2-3 close friends,5- 6 hours,6
2025/11/09 1:44:03 am GMT+5:30,Studying;Working out;Doing chores(Daily tasks),Rock / Phonk /Hip-hop,English songs,More energetic;Focused,3-5 hours,Spotify,Late night (Night owl),2-3 close friends,7-8 hours ,7
2025/11/09 2:50:11 am GMT+5:30,Studying;Working out;Traveling,Instrumental;New Bollywood songs;Pop,Hindi/Punjabi;English songs,More energetic;Relaxed and calm;Focused,3-5 hours,YouTube Music,Late night (Night owl),1 close friends,8+ hours,8
2025/11/09 3:55:27 am GMT+5:30,Eating;Traveling,Rock / Phonk /Hip-hop;Pop;Sad / Emotional,English songs,More emotional,1-3 hours,Spotify,It varies / Iam not sure,2-3 close friends,5- 6 hours,4
2025/11/09 5:08:41 am GMT+5:30,Studying;Bathing;Sleeping/ Relaxing,Rock / Phonk /Hip-hop;Old Bollywood,Hindi/Punjabi;English songs,Relaxed and calm,more than 5,Spotify,Late night (Night owl),More than 3,5- 6 hours,3
2025/11/09 6:15:06 am GMT+5:30,Studying;Doing chores(Daily tasks),Love / Romantic;Sad / Emotional;Pop;Indie,Hindi/Punjabi;English songs,More emotional;Relaxed and calm,more than 5,Spotify,It varies / Iam not sure,Just Me(Lonewolf),5- 6 hours,3
2025/11/09 7:22:19 am GMT+5:30,Studying;Traveling,Rock / Phonk /Hip-hop,English songs,More energetic;Relaxed and calm,more than 5,Spotify,Morning,2-3 close friends,8+ hours,5
2025/11/09 8:33:04 am GMT+5:30,Traveling;Doing chores(Daily tasks),Love / Romantic;Sad / Emotional;New Bollywood songs,Hindi/Punjabi;English songs,More emotional;Relaxed and calm,3-5 hours,My own collection (downloaded songs),Late night (Night owl),2-3 close friends,5- 6 hours,4
2025/11/09 9:45:51 am GMT+5:30,Studying;Working out;Traveling,Pop;Sad / Emotional,English songs,Relaxed and calm;Focused,1-3 hours,Spotify,Late night (Night owl),More than 3,less than 4 hours,3
2025/11/09 10:51:33 am GMT+5:30,Studying;Eating,Rock / Phonk /Hip-hop;Old Bollywood,Hindi/Punjabi;English songs,More energetic,more than 5,YouTube Music,It varies / Iam not sure,2-3 close friends,less than 4 hours,1
2025/11/09 12:03:01 pm GMT+5:30,Working out;Traveling;Doing chores(Daily tasks),Pop;Sad / Emotional,English songs,More emotional,3-5 hours,Spotify,Late night (Night owl),More than 3,5- 6 hours,5
2025/11/09 1:11:49 pm GMT+5:30,Studying;Bathing;Sleeping/ Relaxing,Rock / Phonk /Hip-hop;Indie,Hindi/Punjabi;English songs,More energetic;Focused,more than 5,Spotify,Late night (Night owl),Just Me(Lonewolf),less than 4 hours,1
2025/11/09 2:19:30 pm GMT+5:30,Studying;Eating,Pop;New Bollywood songs,Hindi/Punjabi;English songs,More energetic;Relaxed and calm,more than 5,YouTube Music,Morning,2-3 close friends,7-8 hours ,7
2025/11/09 3:28:14 pm GMT+5:30,Studying;Working out;Traveling,Pop;Love / Romantic;Indie,Hindi/Punjabi;English songs,More energetic;Relaxed and calm;Focused,1-3 hours,Spotify,It varies / Iam not sure,1 close friends,5- 6 hours,5
2025/11/09 4:33:09 pm GMT+5:30,Studying;Bathing,Pop,English songs,More energetic;Relaxed and calm,1-3 hours,Apple Music,Morning,2-3 close friends,7-8 hours ,7
2025/11/09 5:44:52 pm GMT+5:30,Studying;Working out;Traveling,Rock / Phonk /Hip-hop;Pop;Instrumental;Gazal/sufi,Hindi/Punjabi;English songs,More energetic;Relaxed and calm,3-5 hours,Apple Music,Late night (Night owl),2-3 close friends,7-8 hours ,4
2025/11/09 6:50:38 pm GMT+5:30,Studying;Eating;Sleeping/ Relaxing,Instrumental;Old Bollywood,Hindi/Punjabi,No specific change,1-3 hours,Spotify,Late night (Night owl),2-3 close friends,5- 6 hours,6
2025/11/09 8:01:21 pm GMT+5:30,Studying;Working out;Doing chores(Daily tasks),Rock / Phonk /Hip-hop;New Bollywood songs,Hindi/Punjabi;English songs,Relaxed and calm;Focused,more than 5,Spotify,It varies / Iam not sure,Just Me(Lonewolf),7-8 hours ,3
2025/11/09 9:07:46 pm GMT+5:30,Traveling;Bathing;Sleeping/ Relaxing,Rock / Phonk /Hip-hop;Pop,English songs,More energetic;Relaxed and calm;Focused,3-5 hours,Spotify,Morning,2-3 close friends,5- 6 hours,4
2025/11/09 10:16:11 pm GMT+5:30,Studying;Doing chores(Daily tasks),Instrumental;Old Bollywood,Hindi/Punjabi,No specific change,less than 1,Spotify,Late night (Night owl),More than 3,8+ hours,10
2025/11/09 11:25:34 pm GMT+5:30,Studying;Eating;Working out,Pop;Love / Romantic;Indie,Hindi/Punjabi;English songs,More energetic;Relaxed and calm,3-5 hours,Spotify,Late night (Night owl),2-3 close friends,7-8 hours ,7
2025/11/10 12:30:19 am GMT+5:30,Studying;Doing chores(Daily tasks),Pop;New Bollywood songs,Hindi/Punjabi;English songs,More energetic;Relaxed and calm,3-5 hours,Spotify,Late night (Night owl),Just Me(Lonewolf),8+ hours,5
2025/11/10 1:44:07 am GMT+5:30,Studying;Working out;Traveling,Pop;Rock / Phonk /Hip-hop;Indie,Hindi/Punjabi;English songs,No specific change,3-5 hours,My own collection (downloaded songs),Late night (Night owl),More than 3,5- 6 hours,8
2025/11/10 2:50:41 am GMT+5:30,Bathing;Sleeping/ Relaxing,Rock / Phonk /Hip-hop,English songs,No specific change,less than 1,My own collection (downloaded songs),It varies / Iam not sure,2-3 close friends,7-8 hours ,3
2025/11/10 4:03:22 am GMT+5:30,Studying;Working out;Traveling,Rock / Phonk /Hip-hop;Pop;New Bollywood songs,Hindi/Punjabi;English songs,More energetic;Focused,3-5 hours,Spotify,Morning,2-3 close friends,less than 4 hours,4
2025/11/10 5:11:06 am GMT+5:30,Studying;Eating;Working out,Instrumental;Gazal/sufi,Hindi/Punjabi;English songs,More energetic;Relaxed and calm;Focused,1-3 hours,YouTube Music,Evening,Just Me(Lonewolf),5- 6 hours,7
2025/11/10 6:17:34 am GMT+5:30,Studying;Traveling;Sleeping/ Relaxing,Rock / Phonk /Hip-hop;Instrumental;Old Bollywood,Hindi/Punjabi;English songs,More energetic;Relaxed and calm,3-5 hours,Spotify,Late night (Night owl),1 close friends,5- 6 hours,4
2025/11/10 7:29:41 am GMT+5:30,Eating;Bathing,Instrumental,English songs,No specific change,less than 1,YouTube Music,It varies / Iam not sure,2-3 close friends,less than 4 hours,3
2025/11/10 8:38:25 am GMT+5:30,Studying;Sleeping/ Relaxing,Instrumental;Pop;Gazal/sufi,Hindi/Punjabi;Japanese/Korean Song;English songs,Relaxed and calm;Focused,3-5 hours,Spotify,Late night (Night owl),2-3 close friends,less than 4 hours,4
2025/11/10 9:44:03 am GMT+5:30,Studying;Working out;Traveling,Rock / Phonk /Hip-hop,English songs,No specific change,3-5 hours,Spotify,It varies / Iam not sure,More than 3,less than 4 hours,3
2025/11/10 10:55:17 am GMT+5:30,Studying;Working out;Doing chores(Daily tasks),Indie;Instrumental,Hindi/Punjabi,More energetic;Focused,less than 1,My own collection (downloaded songs),Morning,2-3 close friends,7-8 hours ,4
2025/11/10 12:03:09 pm GMT+5:30,Studying;Bathing,Instrumental;Old Bollywood,Hindi/Punjabi,No specific change,less than 1,Spotify,It varies / Iam not sure,More than 3,5- 6 hours,3
2025/11/10 1:11:46 pm GMT+5:30,Studying;Traveling;Doing chores(Daily tasks),Rock / Phonk /Hip-hop;Indie,Hindi/Punjabi;English songs,More energetic;Relaxed and calm,1-3 hours,Spotify,Late night (Night owl),2-3 close friends,7-8 hours ,8
2025/11/10 2:25:31 pm GMT+5:30,Studying;Working out,Rock / Phonk /Hip-hop,English songs,Relaxed and calm;Focused,3-5 hours,Spotify,Late night (Night owl),Just Me(Lonewolf),less than 4 hours,1
2025/11/10 3:30:17 pm GMT+5:30,Traveling;Doing chores(Daily tasks),Indie;New Bollywood songs;Gazal/sufi,Hindi/Punjabi,More energetic;Relaxed and calm,more than 5,YouTube Music,Morning,2-3 close friends,7-8 hours ,7
2025/11/10 4:39:04 pm GMT+5:30,Working out;Traveling,Pop;Sad / Emotional;Rock / Phonk /Hip-hop,English songs,More energetic,less than 1,Apple Music,It varies / Iam not sure,2-3 close friends,7-8 hours ,8
2025/11/10 5:45:51 pm GMT+5:30,Studying;Eating;Working out,Rock / Phonk /Hip-hop;Gazal/sufi,Hindi/Punjabi;English songs,Relaxed and calm,more than 5,Spotify,Late night (Night owl),2-3 close friends,7-8 hours ,3
2025/11/10 6:58:33 pm GMT+5:30,Studying;Working out;Traveling,Rock / Phonk /Hip-hop;New Bollywood songs,Hindi/Punjabi;English songs,More emotional,less than 1,My own collection (downloaded songs),Late night (Night owl),Just Me(Lonewolf),7-8 hours ,8
2025/11/10 8:04:19 pm GMT+5:30,Eating;Traveling;Sleeping/ Relaxing,Indie;Love / Romantic;Sad / Emotional,Hindi/Punjabi;English songs,More energetic;Relaxed and calm,1-3 hours,YouTube Music,Morning,More than 3,5- 6 hours,6
2025/11/10 9:11:02 pm GMT+5:30,Working out;Traveling;Doing chores(Daily tasks),Rock / Phonk /Hip-hop;Pop,English songs,More energetic;Relaxed and calm,1-3 hours,My own collection (downloaded songs),Late night (Night owl),2-3 close friends,8+ hours,3
2025/11/10 10:23:48 pm GMT+5:30,Studying;Sleeping/ Relaxing,Rock / Phonk /Hip-hop;New Bollywood songs,Hindi/Punjabi;English songs,More energetic;Focused,3-5 hours,My own collection (downloaded songs),Late night (Night owl),More than 3,5- 6 hours,4
2025/11/10 11:30:16 pm GMT+5:30,Working out;Bathing,Rock / Phonk /Hip-hop;Pop;Indie,Hindi/Punjabi;English songs,More energetic;Relaxed and calm;Focused,1-3 hours,My own collection (downloaded songs),Morning,2-3 close friends,7-8 hours ,5
2025/11/11 12:44:50 am GMT+5:30,Studying;Doing chores(Daily tasks),Love / Romantic;Sad / Emotional;Pop,Hindi/Punjabi;English songs,More emotional;Relaxed and calm,1-3 hours,Spotify,Late night (Night owl),2-3 close friends,5- 6 hours,6
2025/11/11 1:52:33 am GMT+5:30,Studying;Working out;Traveling,Rock / Phonk /Hip-hop;New Bollywood songs,Hindi/Punjabi;English songs,More energetic;Relaxed and calm;Focused,1-3 hours,Spotify,It varies / Iam not sure,More than 3,5- 6 hours,8
